key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]	Diese Funktion ist abhängig von der Gestaltung der Karte. Karten mit einer Meerwasserquelle und einer einzigen Küstenlinie funktionieren am besten. Der Sinn der Wellenfunktion besteht darin, dass sich das Ufer hin und her bewegt und Sand entlang der Küstenlinie entsteht. Ein besserer Weg, um Strände zu erstellen, ist, sie stattdessen einfach mit Surface Painter zu malen. Durch Wellen wird die Größe der Wasseroberfläche vergrößert. Gezeiten treten ein- oder zweimal am Tag auf. Wellen und Gezeiten sind immer niedriger als der ursprüngliche Meeresspiegel und führen nicht zu Überschwemmungen.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	Esta característica depende del diseño del mapa. El punto de la característica de las olas es hacer que la orilla se mueva y haga arena a lo largo de la costa. Una mejor manera de hacer playas es pintarlas con el pintor de superficie. Las mareas ocurren una o dos veces al día. Las olas y las mareas son siempre inferiores al nivel del mar original y no causan inundación.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]	Wellenhöhe	Wave Height	Altura de las olas	Wave Height	Wave Height	Wave Height	Wave Height	Wave Height	Wave Height	Wave Height	Wave Height	Wave Height	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]	Wellen werden an der Kartengrenze erzeugt, wo es eine Meerwasserquelle gibt und laufen richtung Küste. Karten wurden nicht unbedingt für diese Wellen konzipiert, und die Wellen vergrößern die Wasserfläche. Die Wellen sind niedriger als der Meeresspiegel von der ursprünglichen Karte und verursachen keine Überschwemmungen. Karten wie San Francisco mit seichten Meeren benötigen Wellen und Gezeiten mit kleineren Höhen, um zu verhindern, dass große Teile nicht spielbarer Fläche zum trockenen Sand werden.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Las ondas se generan en el mapa limite donde hay una fuente de agua marina. Una vez generadas se dirigen hacia la orilla. Los mapas no estaban necesariamente diseñados para estas olas, y las olas rematan la superficie del agua. Las ondas son más bajas que el nivel del mar del mapa original y no causan inundación. Mapas como San Francisco con mares poco profundos necesitarán olas y mareas con alturas más pequeñas para evitar que grandes franjas de área no jugable se conviertan en arena seca.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]	Wellenfrequenz	Wave Frequency	Frecuencia de ola	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	Wave Frequency	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]	Frequenz der Wellen pro Tag.	Frequency for waves per day.	Frecuencia de olas al día.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	Frequency for waves per day.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]	Gezeitenhöhe	Tide Height	Altura de las olas	Tide Height	Tide Height	Tide Height	Tide Height	Tide Height	Tide Height	Tide Height	Tide Height	Tide Height	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]	Gezeiten sind die größten Wellen und sie bewirken den Anstieg und Rückgang des Meeres entlang der Küste. Gezeiten können sandige Grafiken entlang der Küsten hinzufügen, aber der Sand kann manchmal nicht die ganze Zeit zwischen Flut und Ebbe andauern. Die Gezeiten sind niedriger als der Meeresspiegel von der ursprünglichen Karte und verursachen keine Überschwemmungen. Karten wie San Francisco mit seichten Meeren benötigen Wellen und Gezeiten mit kleineren Höhen, um zu verhindern, dass große Teile nicht spielbarer Fläche zum trockenen Sand werden. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Las mareas son las olas más grandes y hacen que el mar se levante y caiga a lo largo de la orilla. Las mareas pueden añadir gráficos de arena a lo largo de las líneas de costura, pero la arena no puede persistir todo el tiempo entre marea baja y marea alta. Las mareas son inferiores al nivel del mar del mapa original y no causan inundación. Mapas como San Francisco con mares poco profundos necesitarán olas y mareas con alturas más pequeñas para evitar que grandes franjas de área no jugable se conviertan en arena seca. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand. 	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]	Gezeitenklassifizierung	Tide Classification	Clasificación de la marea	Tide Classification	Tide Classification	Tide Classification	Tide Classification	Tide Classification	Tide Classification	Tide Classification	Tide Classification	Tide Classification	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]	Bei den täglichen Gezeiten gibt es ein Hoch und ein Niedrigwasser pro Tag. Bei den halbtäglichen Gezeiten gibt es zwei Hochs und zwei Niedrigs pro Tag.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Las mareas diurnales tienen una marea alta y una baja por día. Las mareas semidiurnales tienen dos mareas alta y dos bajas por día.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]	Dämpfung	Damping	Amortiguación	Damping	Damping	Damping	Damping	Damping	Damping	Damping	Damping	Damping	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]	Ein höherer Wert macht Wellen stärker, während ein niedrigerer Wert Wellen schwächt. Stärkere Wellen reichen weiter auf die Karte. Schwache Wellen können verschwinden, bevor sie das Ufer erreichen. Vanilla ist 9950, empfohlen 9980-9999. Der tatsächliche Wert ist 10000x weniger.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	Un valor más alto hace que las ondas sean más fuertes, mientras que un valor más bajo hace que las ondas sean más débiles. Las ondas más fuertes llegan más lejos en el mapa. Las ondas débiles pueden dispersarse antes de llegar a la orilla. Vanilla es 9950 recomendado 9980-9999. El valor real es 10000x menos.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]	Wasserbereinigungszyklus	Water Clean Up Cycle	Ciclo de Agua Limpia	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	Water Clean Up Cycle	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]	Dies erhöht die Verdunstungsrate um 1000x für DIE GANZE KARTE für eine kurze Zeit, bevor sie zur Normalität zurückkehren. Für die Reinigung von Wasserstörungen, aber BENUTZUNG AUF EIGENE GEFAHR! Seen mit einer Zielhöhe unterhalb der Bodenhöhe sind eine sicherere Möglichkeit, Wasser zu entfernen.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	Esto aumentará la tasa de evaporación en 1000x PARA EL MAPA ENTERO durante un corto tiempo antes de volver a la normalidad. ¡Para limpiar el agua sucia pero úsalo A TU PROPIO RIESGO! Los lagos con una elevación objetivo por debajo del nivel del suelo son una forma más segura de remover el agua.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.	
Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]	Wasserbereinigungszyklus starten?	Start Water Clean Up Cycle?	¿Iniciar ciclo de limpieza de agua?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	Start Water Clean Up Cycle?	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]	Wasserwerkzeugeinstellungen zurücksetzen	Reset Water Tool Settings	Restablecer ajustes de herramienta de agua	Reset Water Tool Settings	Reset Water Tool Settings	Reset Water Tool Settings	Reset Water Tool Settings	Reset Water Tool Settings	Redefinir as configurações de ferramenta de água	Reset Water Tool Settings	Reset Water Tool Settings	Reset Water Tool Settings	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]	Nach Bestätigung werden die Einstellungen für das Wasserwerkzeug zurückgesetzt.	On confirmation, resets Water Tool Settings.	En caso de confirmación, se restablecen los ajustes de herramienta de agua.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	Ao confirmar, redefine as Configurações da Ferramenta de Água.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	On confirmation, resets Water Tool Settings.	
Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]	Einstellungen für Wasserwerkzeug zurücksetzen?	Reset Water Tool Settings?	Restablecer ajustes de herramienta de agua?	Reset Water Tool Settings?	Reset Water Tool Settings?	Reset Water Tool Settings?	Reset Water Tool Settings?	Reset Water Tool Settings?	Redefinir configurações da Ferramenta de Água?	Reset Water Tool Settings?	Reset Water Tool Settings?	Reset Water Tool Settings?	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]	Saisonale Wasserflüsse Einstellungen zurücksetzten	Reset Seasonal Streams Settings	Restablecer ajustes de secuencias estacionales	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	Redefinir Configurações de Fluxos Sazonais	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	Reset Seasonal Streams Settings	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]	Nach Bestätigung werden die Einstellungen für Saisonale Wasserflüsse zurückgesetzt.	On confirmation, resets Seasonal Streams Settings.	En caso de confirmación, restablece la configuración de los flujos estacionales.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	Ao confirmar, redefine as Configurações de Fluxos Sazonais.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	On confirmation, resets Seasonal Streams Settings.	
Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]	Saisonale Wasserflüsse Einstellungen zurücksetzten?	Reset Seasonal Streams Settings?	Restablecer ajustes de secuencias estacionales?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	Redefinir Configurações de Fluxos Sazonais?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	Reset Seasonal Streams Settings?	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]	Einstellungen für Wellen und Gezeiten zurücksetzen	Reset Waves and Tides Settings	Restablecer ajustes de ondas y mareas	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	Reset Waves and Tides Settings	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]	Nach Bestätigung wird die Einstellung Wellen und Gezeiten zurückgesetzt.	On confirmation, resets Waves and Tides Settings.	En caso de confirmación, se restablecen los ajustes de herramienta de agua.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	On confirmation, resets Waves and Tides Settings.	
Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]	Einstellungen für Wellen und Gezeiten zurücksetzen?	Reset Waves and Tides Settings?	Restablecer ajustes de ondas y mareas?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	Reset Waves and Tides Settings?	
Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]	Täglich	Diurnal	Diurna	Diurnal	Diurnal	Diurnal	Diurnal	Diurnal	Diurnal	Diurnal	Diurnal	Diurnal	
Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]	Halbtäglich	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	Semidiurnal	
YY_WATER_FEATURES.Flow	Wasserrate	Flow	Fluidez	Flow	Flow	Flow	Flow	Flow	Flow	Flow	Flow	Flow	
YY_WATER_FEATURES.Depth	Tiefe	Depth	Profundidad	Depth	Depth	Depth	Depth	Depth	Depth	Depth	Depth	Depth	
YY_WATER_FEATURES.MaxDepth	Maximale Tiefe	Max Depth	Profundidad máxima	Max Depth	Max Depth	Max Depth	Max Depth	Max Depth	Max Depth	Max Depth	Max Depth	Max Depth	
YY_WATER_FEATURES.Elevation	Höhe	Elevation	Elevación	Elevation	Elevation	Elevation	Elevation	Elevation	Elevation	Elevation	Elevation	Elevation	
YY_WATER_FEATURES.MinElevation	Minimale Höhe	Min Elevation	Elevación mínima	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Min Elevation	
YY_WATER_FEATURES.MaxElevation	Maximale Höhe	Max Elevation	Elevación máxima	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Max Elevation	
YY_WATER_FEATURES.SnowAccumulation	Schneeanhäufung	Snow Accumulation	Acumulación de nieve	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	
YY_WATER_FEATURES.OriginalFlow	Originale Wasserflussrate	Original Flow	Fluidez Original	Original Flow	Original Flow	Original Flow	Original Flow	Original Flow	Original Flow	Original Flow	Original Flow	Original Flow	
YY_WATER_FEATURES.MinDepth	Minimale Tiefe	Min Depth	Profundidad mínima	Min Depth	Min Depth	Min Depth	Min Depth	Min Depth	Min Depth	Min Depth	Min Depth	Min Depth	
YY_WATER_FEATURES.Radius	Radius	Radius	Radio	Radius	Radius	Radius	Radius	Radius	Radius	Radius	Radius	Radius	
